Title,Author,Book Type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,Number of Pages
Blood Meridian,Cormac McCarthy,eBook,None,None,0307762521,2010-08-11,Knopf Doubleday Publishing Group,None
Blood Meridian,Cormac McCarthy,Paperback,35.75,None,0679728759,1992-05-05,VINTAGE,None
Blood Meridian,Cormac McCarthy,Digital Audiobook,36.99,None,144078065X,2007-05-16,"Recorded Books, Inc.",None
Star Trek,Diane Duane,eBook,5.99,None,0743422279,2001-12-03,Pocket Books/Star Trek,256
Familiar Stranger,Stuart Hall,eBook,15.99,None,0241290007,2017-04-06,Penguin Books Ltd,256
Familiar Stranger,Stuart Hall,Paperback,32.25,None,0141984759,2018-04-05,Penguin UK,320
Book not found
Across the Seas,Griff Hosker,eBook,9.19,None,0463983092,2019-03-04,Griff Hosker,None
American Royals,Katharine McGee,eBook,9.99,None,0241365988,2019-09-01,Penguin Random House Children's UK,368
American Royals,Katharine McGee,Paperback,19.99,18.25,0241365953,2019-09-03,Penguin UK,448
American Royals,Brittany Pressley,Digital Audiobook,15.99,None,0241367352,2019-09-05,Penguin Random House Children's UK,None
Battle of Okinawa,George Feifer,eBook,None,None,1322117179,2001-01-01,Lyons Press,531
Homage to Catalonia,George Orwell,eBook,15.99,None,0141911719,2003-06-05,Penguin Books Ltd,272
Homage to Catalonia,George Orwell,Paperback,22.99,22.40,0141183055,2000-06-01,Penguin UK,272
Nineteen Eighty-Four,George Orwell,Digital Audiobook,24.99,None,1445897601,2013-02-25,BBC Audio,None
The Twits,Roald Dahl,eBook,9.99,None,0141930160,2007-09-06,Penguin Random House Children's UK,112
The Twits,Roald Dahl,Paperback,16.99,15.80,0241578183,2022-07-05,Penguin UK,144
The Twits,Roald Dahl,Digital Audiobook,15.99,None,0141349522,2014-09-11,Penguin Random House Children's UK,None
"Red, White & Royal Blue",Casey McQuiston,eBook,None,None,1250316782,2019-05-14,St. Martin's Publishing Group,None
"Red, White & Royal Blue",Casey McQuiston,Paperback,30.25,None,1250316774,2019-05-14,St Martins Press,None
The Book of Why,Judea Pearl,eBook,16.99,None,0241242649,2018-05-15,Penguin Books Ltd,400
The  Book Of Why,Judea Pearl,Paperback,32.25,None,0141982411,2019-05-02,Penguin UK,432
"Book of Why, The",Judea Pearl,Digital Audiobook,66.99,None,1543695256,2018-05-15,Brilliance Audio,None
Blow Fly,Patricia Cornwell,eBook,11.99,None,0748109269,2008-09-04,"Little, Brown Book Group",544
Blow Fly,Patricia Cornwell,Paperback,22.99,22.40,0751544930,2010-12-01,Little Brown,528
Blow Fly,Patricia Cornwell,Digital Audiobook,26.99,None,1486245420,2014-09-01,Bolinda Publishing Pty Ltd,None
The Sapphire Widow,Dinah Jefferies,eBook,15.99,None,0241980755,2018-04-05,Penguin Books Ltd,400
The Sapphire Widow,Dinah Jefferies,Paperback,24.99,23.75,024130377X,2018-04-05,Penguin UK,400
The Sapphire Widow,Dinah Jefferies,Digital Audiobook,21.99,None,0241982774,2018-04-05,Penguin Books Ltd,None
Aftermath,Peter Robinson,eBook,None,None,0330469363,2008-09-04,None,None
Couples That Work,Jennifer Petriglieri,eBook,18.99,None,0241379016,2019-10-10,Penguin Books Ltd,304
Couples That Work,Jennifer Petriglieri,Paperback,45.75,None,0241379008,2019-10-10,Penguin UK,272
Couples That Work,Jennifer Petriglieri,Digital Audiobook,22.99,None,0241436052,2019-10-10,Penguin Books Ltd,None
Time of Contempt,Andrzej Sapkowski,eBook,12.99,None,0575088435,2013-06-24,Orion,320
Time of Contempt,Andrzej Sapkowski,Paperback,22.99,20.35,1473231094,2020-02-11,Orion,352
Time of Contempt,Andrzej Sapkowski,Digital Audiobook,46.99,None,1409153290,2014-02-27,Orion,None
Typhoon Fury,Clive Cussler,eBook,15.99,None,1405927690,2017-11-16,Penguin Books Ltd,480
Typhoon Fury,Clive Cussler,Paperback,22.99,22.40,1405927712,2018-11-19,Penguin UK,480
Typhoon Fury,Clive Cussler,Digital Audiobook,21.99,None,0718184726,2017-11-16,Penguin Books Ltd,None
The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,eBook,12.99,None,0755350847,2008-09-04,Headline,448
The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,Paperback,22.99,20.35,0755349962,2008-11-01,Headline,448
The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,Digital Audiobook,39.99,None,1472216091,2013-10-17,Headline,None
The Divine Comedy,Dante Alighieri,eBook,3.99,None,1101117990,2003-05-27,Penguin Publishing Group,928
Purgatory,Dante Alighieri,Paperback,22.99,22.40,0140440461,1964-01-01,Penguin UK,400
The Divine Comedy,Ralph Cosham,Digital Audiobook,33.99,None,1483089401,2007-07-01,Blackstone Publishing,None
A Maiden's Grave,Jeffery Deaver,eBook,8.55,7.99,1101209356,2000-01-01,Penguin Publishing Group,None
A Maiden's Grave,Jeffery Deaver,Paperback,45.35,None,0451466292,2014-02-04,Penguin Group USA,None
A Maiden's Grave,Jeffery Deaver,Digital Audiobook,26.99,None,1444741756,2012-02-10,Hodder & Stoughton,None
